timestamp,open,high,low,close,volume,vwap
2025-04-14 04:00:00-04:00,540.0,541.87,540.0,541.5,13499.0,541.4956
2025-04-14 04:01:00-04:00,541.5,541.5,541.37,541.48,1917.0,541.4017
2025-04-14 04:02:00-04:00,541.3,541.4,541.24,541.4,5764.0,541.2945
2025-04-14 04:03:00-04:00,541.45,541.92,541.45,541.86,4023.0,541.767
2025-04-14 04:04:00-04:00,541.81,541.93,541.81,541.85,1999.0,541.8409
2025-04-14 04:05:00-04:00,541.92,542.0,541.8,541.8,1629.0,541.9334
2025-04-14 04:06:00-04:00,541.8,541.81,541.69,541.72,2572.0,541.7549
2025-04-14 04:07:00-04:00,541.79,541.79,541.5,541.5,792.0,541.5609
2025-04-14 04:08:00-04:00,541.46,541.6,541.41,541.6,2786.0,541.4713
2025-04-14 04:09:00-04:00,541.63,541.67,541.49,541.67,2501.0,541.5687
2025-04-14 04:10:00-04:00,541.54,541.54,541.3,541.3,2282.0,541.3633
2025-04-14 04:11:00-04:00,541.34,541.34,541.12,541.12,1529.0,541.2459
2025-04-14 04:12:00-04:00,541.14,541.15,541.11,541.11,2211.0,541.1365
2025-04-14 04:13:00-04:00,541.3,541.3,541.3,541.3,1235.0,541.2912
2025-04-14 04:14:00-04:00,541.31,541.43,541.31,541.43,2226.0,541.352
2025-04-14 04:15:00-04:00,541.53,541.53,541.5,541.5,1951.0,541.5291
2025-04-14 04:16:00-04:00,541.44,541.65,541.41,541.65,1805.0,541.5078
2025-04-14 04:17:00-04:00,541.68,541.7,541.68,541.7,1719.0,541.6613
2025-04-14 04:18:00-04:00,541.67,541.67,541.67,541.67,774.0,541.6551
2025-04-14 04:19:00-04:00,541.62,541.71,541.62,541.71,696.0,541.6744
2025-04-14 04:20:00-04:00,541.8,541.8,541.59,541.59,2034.0,541.7123
2025-04-14 04:21:00-04:00,541.62,541.62,541.62,541.62,894.0,541.6692
2025-04-14 04:22:00-04:00,541.72,541.82,541.72,541.82,826.0,541.7759
2025-04-14 04:23:00-04:00,541.62,541.7,541.62,541.7,623.0,541.6169
2025-04-14 04:24:00-04:00,541.85,541.85,541.85,541.85,1094.0,541.8508
2025-04-14 04:25:00-04:00,541.95,542.0,541.68,541.68,5621.0,541.9349
2025-04-14 04:26:00-04:00,541.56,541.56,541.54,541.54,1207.0,541.5771
2025-04-14 04:27:00-04:00,541.66,541.66,541.66,541.66,448.0,541.6169
2025-04-14 04:30:00-04:00,541.91,541.91,541.91,541.91,631.0,541.8783
2025-04-14 04:31:00-04:00,541.65,541.65,541.6,541.6,1104.0,541.7055
2025-04-14 04:32:00-04:00,541.5,541.66,541.5,541.66,1194.0,541.6084
2025-04-14 04:34:00-04:00,541.6,541.66,541.6,541.6,1561.0,541.626
2025-04-14 04:35:00-04:00,541.53,541.79,541.53,541.79,3314.0,541.6539
2025-04-14 04:37:00-04:00,541.9,541.96,541.9,541.96,1564.0,541.9534
2025-04-14 04:38:00-04:00,542.04,542.04,541.9,541.9,1447.0,541.8891
2025-04-14 04:39:00-04:00,541.73,541.77,541.72,541.72,1631.0,541.7392
2025-04-14 04:40:00-04:00,541.62,541.86,541.62,541.86,1848.0,541.7859
2025-04-14 04:42:00-04:00,541.86,541.86,541.7,541.7,478.0,541.7511
2025-04-14 04:43:00-04:00,541.6,541.67,541.6,541.67,1007.0,541.6364
2025-04-14 04:44:00-04:00,541.63,541.63,541.63,541.63,470.0,541.5699
2025-04-14 04:45:00-04:00,541.63,541.7,541.63,541.7,1564.0,541.6566
2025-04-14 04:46:00-04:00,541.86,541.86,541.86,541.86,749.0,541.8419
2025-04-14 04:47:00-04:00,541.83,541.83,541.7,541.7,733.0,541.7045
2025-04-14 04:48:00-04:00,541.91,541.91,541.83,541.83,855.0,541.8204
2025-04-14 04:49:00-04:00,541.91,541.91,541.84,541.84,517.0,541.8833
2025-04-14 04:50:00-04:00,541.75,541.75,541.75,541.75,1846.0,541.7501
2025-04-14 04:51:00-04:00,541.56,541.56,541.36,541.46,4254.0,541.4685
2025-04-14 04:52:00-04:00,541.55,541.55,541.55,541.55,3823.0,541.5481
2025-04-14 04:53:00-04:00,541.6,541.6,541.47,541.58,5624.0,541.5665
2025-04-14 04:54:00-04:00,541.58,541.77,541.58,541.71,2679.0,541.7187
