timestamp,open,high,low,close,volume,vwap
2023-07-03 04:00:00-04:00,443.5,443.52,443.5,443.52,779.0,443.4989
2023-07-03 04:01:00-04:00,443.6,443.6,443.6,443.6,777.0,443.6011
2023-07-03 04:02:00-04:00,443.6,443.64,443.57,443.58,1916.0,443.5951
2023-07-03 04:03:00-04:00,443.62,443.62,443.6,443.62,928.0,443.6111
2023-07-03 04:04:00-04:00,443.63,443.63,443.63,443.63,330.0,443.6315
2023-07-03 04:05:00-04:00,443.65,443.65,443.65,443.65,1413.0,443.6497
2023-07-03 04:06:00-04:00,443.68,443.68,443.61,443.61,1414.0,443.6544
2023-07-03 04:07:00-04:00,443.66,443.66,443.62,443.62,263.0,443.6383
2023-07-03 04:08:00-04:00,443.6,443.6,443.57,443.57,978.0,443.5779
2023-07-03 04:09:00-04:00,443.58,443.58,443.58,443.58,294.0,443.5934
2023-07-03 04:11:00-04:00,443.63,443.68,443.63,443.68,1436.0,443.6782
2023-07-03 04:12:00-04:00,443.7,443.75,443.69,443.75,447.0,443.7139
2023-07-03 04:13:00-04:00,443.73,443.73,443.73,443.73,102.0,443.7294
2023-07-03 04:14:00-04:00,443.67,443.74,443.66,443.74,8105.0,443.7002
2023-07-03 04:19:00-04:00,443.65,443.67,443.64,443.67,876.0,443.6601
2023-07-03 04:21:00-04:00,443.72,443.72,443.72,443.72,685.0,443.724
2023-07-03 04:24:00-04:00,443.58,443.6,443.58,443.6,402.0,443.5951
2023-07-03 04:26:00-04:00,443.6,443.6,443.6,443.6,254.0,443.5976
2023-07-03 04:27:00-04:00,443.65,443.67,443.65,443.67,506.0,443.6606
2023-07-03 04:32:00-04:00,443.69,443.69,443.69,443.69,179.0,443.6863
2023-07-03 04:34:00-04:00,443.79,443.79,443.79,443.79,701.0,443.7873
2023-07-03 04:36:00-04:00,443.81,443.81,443.81,443.81,262.0,443.8091
2023-07-03 04:38:00-04:00,443.76,443.77,443.76,443.77,1155.0,443.7652
2023-07-03 04:39:00-04:00,443.81,443.85,443.81,443.85,2300.0,443.8396
2023-07-03 04:40:00-04:00,443.83,443.83,443.83,443.83,544.0,443.8308
2023-07-03 04:44:00-04:00,443.8,443.8,443.8,443.8,262.0,443.8022
2023-07-03 04:45:00-04:00,443.84,443.84,443.84,443.84,645.0,443.843
2023-07-03 04:46:00-04:00,443.8,443.8,443.8,443.8,973.0,443.8028
2023-07-03 04:48:00-04:00,443.77,443.77,443.77,443.77,432.0,443.792
2023-07-03 04:53:00-04:00,443.77,443.8,443.77,443.8,549.0,443.7701
2023-07-03 04:55:00-04:00,443.69,443.69,443.69,443.69,218.0,443.6922
2023-07-03 04:57:00-04:00,443.68,443.68,443.67,443.67,2167.0,443.6748
2023-07-03 04:58:00-04:00,443.71,443.71,443.71,443.71,208.0,443.7067
2023-07-03 05:01:00-04:00,443.71,443.71,443.68,443.68,479.0,443.6963
2023-07-03 05:02:00-04:00,443.7,443.7,443.7,443.7,149.0,443.7019
2023-07-03 05:03:00-04:00,443.7,443.7,443.67,443.67,342.0,443.6813
2023-07-03 05:04:00-04:00,443.67,443.69,443.67,443.69,301.0,443.6801
2023-07-03 05:08:00-04:00,443.61,443.61,443.61,443.61,1033.0,443.6114
2023-07-03 05:12:00-04:00,443.66,443.66,443.66,443.66,466.0,443.6552
2023-07-03 05:13:00-04:00,443.64,443.64,443.64,443.64,213.0,443.6301
2023-07-03 05:14:00-04:00,443.62,443.62,443.59,443.59,3607.0,443.6036
2023-07-03 05:15:00-04:00,443.65,443.65,443.65,443.65,367.0,443.6374
2023-07-03 05:17:00-04:00,443.67,443.67,443.67,443.67,287.0,443.6666
2023-07-03 05:19:00-04:00,443.69,443.69,443.69,443.69,198.0,443.6692
2023-07-03 05:20:00-04:00,443.67,443.67,443.67,443.67,338.0,443.6612
2023-07-03 05:21:00-04:00,443.59,443.59,443.59,443.59,305.0,443.602
2023-07-03 05:22:00-04:00,443.61,443.61,443.61,443.61,178.0,443.6144
2023-07-03 05:29:00-04:00,443.65,443.65,443.63,443.63,421.0,443.6369
2023-07-03 05:31:00-04:00,443.57,443.57,443.57,443.57,623.0,443.5709
2023-07-03 05:34:00-04:00,443.55,443.63,443.55,443.57,5350.0,443.5873
2023-07-03 05:36:00-04:00,443.56,443.56,443.56,443.56,232.0,443.574
2023-07-03 05:37:00-04:00,443.62,443.62,443.62,443.62,255.0,443.62
2023-07-03 05:39:00-04:00,443.6,443.6,443.6,443.6,124.0,443.6032
2023-07-03 05:43:00-04:00,443.51,443.51,443.51,443.51,607.0,443.5135
2023-07-03 05:45:00-04:00,443.52,443.52,443.52,443.52,286.0,443.5298
2023-07-03 05:49:00-04:00,443.58,443.58,443.58,443.58,211.0,443.567
2023-07-03 05:50:00-04:00,443.59,443.59,443.59,443.59,1080.0,443.59
2023-07-03 05:51:00-04:00,443.6,443.62,443.6,443.62,500.0,443.604
2023-07-03 05:54:00-04:00,443.53,443.53,443.52,443.52,1098.0,443.5237
2023-07-03 05:59:00-04:00,443.58,443.58,443.58,443.58,250.0,443.58
2023-07-03 06:00:00-04:00,443.6,443.6,443.6,443.6,745.0,443.5997
2023-07-03 06:02:00-04:00,443.64,443.64,443.64,443.64,564.0,443.6356
2023-07-03 06:03:00-04:00,443.65,443.65,443.65,443.65,249.0,443.656
2023-07-03 06:05:00-04:00,443.52,443.52,443.31,443.37,2672.0,443.3971
2023-07-03 06:08:00-04:00,443.51,443.51,443.51,443.51,485.0,443.5113
2023-07-03 06:09:00-04:00,443.58,443.61,443.57,443.58,35550.0,443.6072
2023-07-03 06:11:00-04:00,443.59,443.65,443.59,443.6,35239.0,443.6371
2023-07-03 06:13:00-04:00,443.56,443.56,443.56,443.56,606.0,443.5528
2023-07-03 06:14:00-04:00,443.57,443.57,443.57,443.57,1400.0,443.5696
2023-07-03 06:15:00-04:00,443.57,443.7,443.57,443.61,13865.0,443.6304
2023-07-03 06:16:00-04:00,443.7,443.75,443.7,443.75,11230.0,443.748
2023-07-03 06:17:00-04:00,443.74,443.8,443.72,443.72,11542.0,443.7872
2023-07-03 06:18:00-04:00,443.77,443.8,443.75,443.75,12716.0,443.7898
2023-07-03 06:19:00-04:00,443.81,443.82,443.81,443.81,1155.0,443.8092
2023-07-03 06:20:00-04:00,443.74,443.8,443.74,443.76,13112.0,443.7899
2023-07-03 06:21:00-04:00,443.75,443.8,443.75,443.78,13605.0,443.7976
2023-07-03 06:22:00-04:00,443.79,443.85,443.79,443.85,15350.0,443.8018
2023-07-03 06:23:00-04:00,443.89,443.89,443.89,443.89,473.0,443.8884
2023-07-03 06:24:00-04:00,443.82,443.82,443.82,443.82,543.0,443.8329
2023-07-03 06:27:00-04:00,443.93,443.93,443.93,443.93,710.0,443.9279
2023-07-03 06:28:00-04:00,443.95,443.95,443.95,443.95,205.0,443.9507
2023-07-03 06:30:00-04:00,443.9,443.9,443.9,443.9,552.0,443.9009
2023-07-03 06:32:00-04:00,443.92,443.92,443.92,443.92,198.0,443.9164
2023-07-03 06:35:00-04:00,443.93,443.93,443.93,443.93,488.0,443.9298
2023-07-03 06:36:00-04:00,443.92,443.92,443.92,443.92,549.0,443.9199
2023-07-03 06:37:00-04:00,443.91,443.91,443.91,443.91,231.0,443.914
2023-07-03 06:40:00-04:00,443.87,443.91,443.87,443.91,700.0,443.8788
2023-07-03 06:42:00-04:00,443.89,443.89,443.86,443.86,504.0,443.8838
2023-07-03 06:45:00-04:00,443.8,443.8,443.79,443.79,437.0,443.7932
