timestamp,Volume,vw,Open,Close,High,Low,n
2025-04-10 09:30:00,5580.0,532.1661,532.05,532.2,532.23,532.05,80
2025-04-10 09:31:00,4722.0,532.4383,532.23,532.63,532.65,532.2,131
2025-04-10 09:32:00,5846.0,532.8113,532.68,533.0,533.01,532.61,90
2025-04-10 09:33:00,7418.0,533.2846,533.13,533.32,533.52,533.13,120
2025-04-10 09:34:00,4128.0,533.4896,533.27,533.68,533.68,533.26,124
2025-04-10 09:35:00,3529.0,533.406,533.65,533.46,533.65,533.33,122
2025-04-10 09:36:00,6935.0,534.0103,533.71,534.16,534.2,533.71,155
2025-04-10 09:37:00,10040.0,534.025,534.21,533.95,534.21,533.88,122
2025-04-10 09:38:00,8519.0,533.8606,533.88,533.7,533.96,533.7,133
2025-04-10 09:39:00,12181.0,533.3118,533.7,532.99,533.7,532.99,141
2025-04-10 09:40:00,8063.0,532.8805,532.99,532.85,533.24,532.67,95
2025-04-10 09:41:00,5033.0,532.693,532.76,532.67,532.82,532.62,83
2025-04-10 09:42:00,3071.0,532.5778,532.77,532.43,532.85,532.38,91
2025-04-10 09:43:00,4550.0,532.3162,532.38,532.15,532.56,532.11,131
2025-04-10 09:44:00,4746.0,532.2231,532.11,532.35,532.36,532.05,110
2025-04-10 09:45:00,3427.0,532.2592,532.17,532.24,532.36,532.17,100
2025-04-10 09:46:00,8730.0,532.1658,532.23,532.21,532.35,531.98,163
2025-04-10 09:47:00,2634.0,532.0588,532.0,532.06,532.06,532.0,63
2025-04-10 09:48:00,1949.0,532.0221,532.01,532.06,532.06,531.92,41
2025-04-10 09:49:00,15459.0,532.2828,532.15,532.45,532.5,532.11,184
2025-04-10 09:50:00,4414.0,532.5148,532.54,532.68,532.68,532.37,91
2025-04-10 09:51:00,9126.0,532.8617,532.82,532.85,533.07,532.71,166
2025-04-10 09:52:00,4594.0,533.235,532.93,533.35,533.35,532.93,73
2025-04-10 09:53:00,5608.0,533.1693,533.2,533.16,533.2,533.05,93
2025-04-10 09:54:00,9869.0,533.7198,533.65,533.96,533.98,533.25,181
2025-04-10 09:55:00,3155.0,533.856,533.68,533.9,533.9,533.68,56
2025-04-10 09:56:00,5828.0,533.7917,533.5,533.9,533.9,533.5,93
2025-04-10 09:57:00,6783.0,533.8857,533.99,533.78,534.0,533.72,75
2025-04-10 09:58:00,28723.0,533.2548,533.84,533.08,533.84,533.0,199
2025-04-10 09:59:00,21014.0,532.8999,533.0,532.77,533.06,532.6,191
2025-04-10 10:00:00,4935.0,532.7272,532.83,532.78,532.85,532.55,147
2025-04-10 10:01:00,7228.0,532.894,532.73,533.0,533.0,532.73,153
2025-04-10 10:02:00,7287.0,533.3404,533.16,533.56,533.56,533.16,139
2025-04-10 10:03:00,12682.0,533.5387,533.59,533.67,533.67,533.32,133
2025-04-10 10:04:00,7836.0,533.793,533.41,533.68,533.91,533.41,104
2025-04-10 10:05:00,16483.0,533.5623,533.71,533.44,533.71,533.44,111
2025-04-10 10:06:00,7414.0,533.66,533.49,533.92,533.96,533.4,96
2025-04-10 10:07:00,6765.0,533.9371,533.79,534.3,534.3,533.71,163
2025-04-10 10:08:00,6984.0,534.387,534.26,534.6,534.6,534.21,103
2025-04-10 10:09:00,14769.0,534.5839,534.43,534.48,534.73,534.43,217
2025-04-10 10:10:00,12058.0,534.5872,534.39,534.54,534.72,534.38,179
2025-04-10 10:11:00,21337.0,534.9262,534.92,534.69,535.0,534.66,199
2025-04-10 10:12:00,9162.0,534.9067,534.71,534.97,535.08,534.7,124
2025-04-10 10:13:00,4098.0,535.1116,534.95,535.18,535.28,534.93,90
2025-04-10 10:14:00,27607.0,535.7113,535.2,535.43,536.0,535.2,292
2025-04-10 10:15:00,37843.0,535.9054,535.56,536.19,536.19,535.45,315
2025-04-10 10:16:00,70404.0,536.0913,536.25,536.1,536.25,535.84,277
2025-04-10 10:17:00,65747.0,535.9232,535.9,535.89,536.01,535.66,296
2025-04-10 10:18:00,61406.0,536.2178,535.89,536.29,536.41,535.89,209
2025-04-10 10:19:00,51434.0,536.4441,536.26,536.9,536.9,536.16,266
